BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
SNDX,IMOEX,2024-03-19,Индекс МосБиржи,Индекс МосБиржи,3264.97,3293.93,3303.52,3254.3,126000973325.8,0,0,2,5773872854885.664,RUB,1768432736.5807,3,,2024-03-19,
SNDX,IMOEX,2024-03-20,Индекс МосБиржи,Индекс МосБиржи,3267.1,3268.87,3286.72,3257.72,137291165836.83,0,0,2,5777654594703.682,RUB,1768432736.5807,3,,2024-03-20,
SNDX,IMOEX,2024-03-21,Индекс МосБиржи,Индекс МосБиржи,3286.69,3286.75,3297.46,3259.03,108017217102.03,0,0,2,5812294536703.006,RUB,1768432736.5807,3,,2024-03-21,
SNDX,IMOEX,2024-03-22,Индекс МосБиржи,Индекс МосБиржи,3273.49,3289.28,3299.19,3260.39,88262062537.11,0,0,2,5775456769183.587,RUB,1764312998.5761,3,,2024-03-22,
SNDX,IMOEX,2024-03-25,Индекс МосБиржи,Индекс МосБиржи,3281.63,3251.24,3281.63,3234.95,71511600961.75,0,0,2,5789816537986.542,RUB,1764312998.5761,3,,2024-03-25,
SNDX,IMOEX,2024-03-26,Индекс МосБиржи,Индекс МосБиржи,3285.54,3286.2,3291.0,3275.8,59783293439.42,0,0,2,5796714472247.227,RUB,1764312998.5761,3,,2024-03-26,
SNDX,IMOEX,2024-03-27,Индекс МосБиржи,Индекс МосБиржи,3304.09,3291.7,3304.09,3280.03,51422673944.24,0,0,2,5829443069275.102,RUB,1764312998.5761,3,,2024-03-27,
SNDX,IMOEX,2024-03-28,Индекс МосБиржи,Индекс МосБиржи,3312.77,3308.26,3313.59,3301.52,61649303454.67,0,0,2,5844767342306.703,RUB,1764312998.5761,3,,2024-03-28,
SNDX,IMOEX,2024-03-29,Индекс МосБиржи,Индекс МосБиржи,3332.53,3313.17,3332.53,3305.22,59294620380.39,0,0,2,5879631533134.569,RUB,1764312998.5761,3,,2024-03-29,
SNDX,IMOEX,2024-04-01,Индекс МосБиржи,Индекс МосБиржи,3363.29,3343.66,3367.34,3343.66,101013487719.6,0,0,2,5933899665827.175,RUB,1764312998.5761,3,,2024-04-01,
SNDX,IMOEX,2024-04-02,Индекс МосБиржи,Индекс МосБиржи,3371.29,3369.32,3375.69,3357.55,80210555236.1,0,0,2,5948018068188.036,RUB,1764312998.5761,3,,2024-04-02,
SNDX,IMOEX,2024-04-03,Индекс МосБиржи,Индекс МосБиржи,3395.59,3381.95,3397.33,3376.63,86023975807.27,0,0,2,5990890133319.0205,RUB,1764312998.5761,3,,2024-04-03,
SNDX,IMOEX,2024-04-04,Индекс МосБиржи,Индекс МосБиржи,3407.57,3399.81,3409.62,3392.06,80827897828.97,0,0,2,6012013237287.106,RUB,1764312998.5761,3,,2024-04-04,
SNDX,IMOEX,2024-04-05,Индекс МосБиржи,Индекс МосБиржи,3395.37,3393.2,3401.16,3385.42,59263336534.39,0,0,2,5990502483734.417,RUB,1764312998.5761,3,,2024-04-05,
SNDX,IMOEX,2024-04-08,Индекс МосБиржи,Индекс МосБиржи,3417.38,3400.82,3423.35,3400.82,72360399146.1,0,0,2,6029329275303.766,RUB,1764312998.5761,3,,2024-04-08,
SNDX,IMOEX,2024-04-09,Индекс МосБиржи,Индекс МосБиржи,3414.26,3423.41,3441.18,3408.99,84388299086.8,0,0,2,6023820734311.044,RUB,1764312998.5761,3,,2024-04-09,
SNDX,IMOEX,2024-04-10,Индекс МосБиржи,Индекс МосБиржи,3439.11,3424.75,3440.03,3405.46,68204100239.98,0,0,2,6067659667641.639,RUB,1764312998.5761,3,,2024-04-10,
SNDX,IMOEX,2024-04-11,Индекс МосБиржи,Индекс МосБиржи,3439.53,3442.84,3455.61,3431.18,53525607759.33,0,0,2,6068405796074.9795,RUB,1764312998.5761,3,,2024-04-11,
SNDX,IMOEX,2024-04-12,Индекс МосБиржи,Индекс МосБиржи,3456.24,3448.6,3464.0,3446.79,63944927459.55,0,0,2,6097892530647.947,RUB,1764312998.5761,3,,2024-04-12,
SNDX,IMOEX,2024-04-15,Индекс МосБиржи,Индекс МосБиржи,3472.19,3456.38,3476.98,3454.06,74215544275.99,0,0,2,6126033832083.646,RUB,1764312998.5761,3,,2024-04-15,
SNDX,IMOEX,2024-04-16,Индекс МосБиржи,Индекс МосБиржи,3462.94,3478.02,3479.04,3459.45,66353162008.45,0,0,2,6109716852026.842,RUB,1764312998.5761,3,,2024-04-16,
